"country" "points" "price" "province" "variety" "winery"
"France" 90 22 "Provence" "Rosé" "Les Vignobles Gueissard"
"France" 90 14 "Provence" "Red Blend" "Domaine Houchart"
"France" 89 24 "Languedoc-Roussillon" "Red Blend" "O'Vineyards"
"France" 89 18 "Languedoc-Roussillon" "Red Blend" "Gérard Bertrand"
"Italy" 86 13 "Sicily & Sardinia" "Rosé" "Argiolas"
"Italy" 86 22 "Southern Italy" "White Blend" "Villa Schinosa"
"France" 86 16 "Languedoc-Roussillon" "Rosé" "Chateau du Donjon"
"France" 85 18 "Burgundy" "Chardonnay" "Pierre André"
"Italy" 85 28 "Lombardy" "Sparkling Blend" "Cornaleto"
"France" 85 17 "Burgundy" "Chardonnay" "Louis Chevallier"
"Italy" 90 50 "Sicily & Sardinia" "Red Blend" "Avide"
"France" 90 47 "Burgundy" "Chardonnay" "Domaine Pommier"
"France" 90 108 "Burgundy" "Chardonnay" "Domaine Christian Moreau Père et Fils"
"Italy" 90 55 "Tuscany" "Red Blend" "Cesani"
"France" 90 25 "Provence" "Rosé" "Château les Valentines"
"France" 90 20 "Provence" "Rosé" "Château Réal Martin"
"Italy" 89 28 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 89 24 "Central Italy" "White Blend" "Casale del Giglio"
"Italy" 90 60 "Veneto" "Red Blend" "Tedeschi"
"France" 85 18 "Burgundy" "Chardonnay" "Vincent"
"France" 85 25 "Burgundy" "Chardonnay" "Domaine L. Chatelain"
"Italy" 84 25 "Sicily & Sardinia" "White Blend" "Murgo"
"Italy" 83 55 "Sicily & Sardinia" "White Blend" "Murgo"
"Italy" 83 32 "Sicily & Sardinia" "White Blend" "Frank Cornelissen"
"Italy" 93 48 "Central Italy" "Red Blend" "Castelluccio"
"France" 89 52 "Burgundy" "Chardonnay" "Domaine Jayer-Gilles"
"France" 89 56 "Burgundy" "Chardonnay" "Domaine Leflaive"
"France" 89 90 "Burgundy" "Chardonnay" "Albert Bichot"
"Italy" 89 26 "Southern Italy" "Red Blend" "Borgo di Colloredo"
"France" 88 25 "Languedoc-Roussillon" "Syrah" "Les Vignobles Foncalieu"
"Italy" 88 21 "Sicily & Sardinia" "White Blend" "Planeta"
"France" 90 15 "Provence" "Rosé" "Château Deffends"
"France" 90 24 "Provence" "Rosé" "Château la Mascaronne"
"France" 86 11 "Languedoc-Roussillon" "Rosé" "Domaines Paul Mas"
"Italy" 86 10 "Southern Italy" "White Blend" "Botromagno"
"Italy" 86 10 "Southern Italy" "White Blend" "Botromagno"
"Italy" 90 48 "Central Italy" "White Blend" "Umani Ronchi"
"France" 90 25 "Burgundy" "Chardonnay" "Bailly-Lapierre"
"France" 91 75 "Champagne" "Chardonnay" "G. H. Mumm"
"Italy" 83 19 "Sicily & Sardinia" "Chardonnay" "Cambria"
"Italy" 89 27 "Southern Italy" "Red Blend" "I Capitani"
"France" 89 57 "Burgundy" "Chardonnay" "Michel Picard"
"France" 89 30 "Burgundy" "Chardonnay" "Simonnet-Febvre"
"France" 89 35 "Burgundy" "Chardonnay" "Simonnet-Febvre"
"France" 89 80 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"Italy" 89 30 "Southern Italy" "Red Blend" "Conti Zecca"
"France" 89 25 "Provence" "Rosé" "Château l'Afrique"
"France" 89 25 "Provence" "Rosé" "Château Margüi"
"France" 88 25 "Languedoc-Roussillon" "Syrah" "Les Vignobles Foncalieu"
"France" 88 13 "Southwest France" "White Blend" "Domaine Rotier"
"Italy" 86 14 "Sicily & Sardinia" "White Blend" "Baglio di Pianetto"
"France" 86 11 "Languedoc-Roussillon" "Rosé" "Les Deux Rives"
"Italy" 92 75 "Central Italy" "Red Blend" "Drei Donà Tenuta La Palazza"
"France" 89 80 "Burgundy" "Chardonnay" "Michel Picard"
"Italy" 89 38 "Sicily & Sardinia" "Red Blend" "Palari"
"France" 89 47 "Burgundy" "Chardonnay" "Domaine Pommier"
"France" 89 71 "Burgundy" "Chardonnay" "Xavier Monnot"
"Italy" 89 21 "Southern Italy" "Red Blend" "Statti"
"France" 89 19 "Provence" "Rosé" "Commanderie de la Bargemone"
"France" 89 15 "Provence" "Rosé" "Domaine de la Sanglière"
"Italy" 88 30 "Sicily & Sardinia" "Red Blend" "Valle dell'Acate"
"France" 88 15 "Languedoc-Roussillon" "Red Blend" "O'Vineyards"
"France" 88 15 "Languedoc-Roussillon" "Chardonnay" "Robert Skalli"
"Italy" 84 18 "Southern Italy" "Red Blend" "Giuseppe Apicella"
"Italy" 88 30 "Tuscany" "Red Blend" "Machiavelli"
"Italy" 88 20 "Tuscany" "Red Blend" "Il Borro"
"Italy" 88 25 "Tuscany" "Red Blend" "Marchesi de' Frescobaldi"
"Italy" 88 30 "Tuscany" "Red Blend" "Campomaggio"
"Italy" 88 20 "Tuscany" "Red Blend" "Erik Banti"
"Italy" 88 38 "Tuscany" "Red Blend" "Grattamacco"
"Italy" 88 17 "Tuscany" "Red Blend" "Rocca delle Macìe"
"France" 89 44 "Burgundy" "Chardonnay" "Domaine Laroche"
"Italy" 88 9 "Central Italy" "Chardonnay" "Farnese"
"Italy" 88 40 "Central Italy" "White Blend" "Consorzio Vini Tipici di San Marino"
"Italy" 88 33 "Northeastern Italy" "Chardonnay" "Girlan"
"France" 88 17 "Southwest France" "White Blend" "Lionel Osmin & Cie"
"Italy" 87 28 "Tuscany" "Red Blend" "Tenuta Argentiera"
"Italy" 87 15 "Tuscany" "Red Blend" "San Fabiano Calcinaia"
"Italy" 87 19 "Tuscany" "Red Blend" "San Luciano"
"Italy" 87 15 "Tuscany" "Red Blend" "Il Colombaio di Santachiara"
"Italy" 87 30 "Tuscany" "Red Blend" "Poggio alle Querce"
"Italy" 87 10 "Tuscany" "Red Blend" "Villa Pillo"
"Italy" 87 11 "Tuscany" "Red Blend" "Villa Pillo"
"Italy" 87 60 "Tuscany" "Red Blend" "Tenuta San Guido"
"Italy" 91 62 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 91 70 "Sicily & Sardinia" "Red Blend" "Argiolas"
"Italy" 91 29 "Sicily & Sardinia" "Red Blend" "Sella & Mosca"
"France" 88 27 "Burgundy" "Chardonnay" "La Chablisienne"
"France" 88 33 "Burgundy" "Chardonnay" "Maison Champy"
"France" 88 30 "Burgundy" "Chardonnay" "Faiveley"
"France" 88 70 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"Italy" 88 35 "Tuscany" "Red Blend" "Capitoni Marco"
"Italy" 88 21 "Northeastern Italy" "White Blend" "Marco Felluga"
"France" 89 30 "Provence" "Rosé" "Château de Pampelonne"
"France" 89 40 "Provence" "Rosé" "Château Léoube"
"France" 89 15 "Provence" "Rosé" "Château Saint-Pierre"
"France" 89 28 "Provence" "Rosé" "Domaine Sainte-Marie"
"Italy" 88 13 "Sicily & Sardinia" "White Blend" "Florio"
"France" 88 15 "Languedoc-Roussillon" "Red Blend" "O'Vineyards"
"Italy" 88 16 "Sicily & Sardinia" "White Blend" "Planeta"
"Italy" 87 16 "Tuscany" "Red Blend" "Erik Banti"
"Italy" 87 18 "Tuscany" "Red Blend" "Jacopo Biondi-Santi"
"Italy" 87 20 "Tuscany" "Red Blend" "Kirkland Signature"
"Italy" 87 25 "Tuscany" "Red Blend" "Rocca di Frassinello"
"Italy" 87 18 "Tuscany" "Red Blend" "Triacca"
"Italy" 87 30 "Tuscany" "Red Blend" "La Lastra"
"Italy" 90 30 "Piedmont" "Red Blend" "Anna Maria Abbona"
"France" 90 85 "Champagne" "Chardonnay" "J. Dumangin Fils"
"France" 90 75 "Champagne" "Chardonnay" "Lallier"
"Italy" 90 30 "Sicily & Sardinia" "Red Blend" "Cantina Santadi"
"Italy" 90 57 "Central Italy" "Red Blend" "Casale del Giglio"
"Italy" 90 55 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 88 17 "Sicily & Sardinia" "Syrah" "Principi di Spadafora"
"Italy" 88 48 "Sicily & Sardinia" "Red Blend" "Abbazia Santa Anastasia"
"France" 88 47 "Burgundy" "Chardonnay" "Domaine Pommier"
"France" 89 17 "Provence" "Rosé" "Château Barbanau"
"France" 89 22 "Provence" "Rosé" "Château d'Esclans"
"France" 88 23 "Provence" "Rosé" "Domaine Saint-André de Figuière"
"France" 88 15 "Provence" "Rosé" "Château Beaulieu"
"France" 88 15 "Provence" "Rosé" "Les Vignobles Gueissard"
"France" 88 15 "Provence" "Rosé" "Château du Galoupet"
"Italy" 87 9 "Sicily & Sardinia" "Syrah" "Feudo Arancio"
"France" 87 11 "Southwest France" "White Blend" "Haut Marin"
"Italy" 87 40 "Tuscany" "Red Blend" "Fattoria Corzano e Paterno"
"Italy" 87 110 "Tuscany" "Red Blend" "Grattamacco"
"Italy" 87 17 "Tuscany" "Red Blend" "Podere la Marronaia"
"Italy" 93 55 "Tuscany" "White Blend" "Fattoria Petrolo"
"France" 90 70 "Champagne" "White Blend" "Drappier"
"Italy" 90 38 "Central Italy" "Red Blend" "San Patrignano"
"Italy" 90 62 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 90 35 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 93 68 "Tuscany" "Red Blend" "Cupano"
"France" 88 50 "Burgundy" "Chardonnay" "Olivier Leflaive"
"France" 88 45 "Burgundy" "Chardonnay" "Olivier Leflaive"
"Italy" 88 39 "Sicily & Sardinia" "Red Blend" "Palari"
"Italy" 88 18 "Tuscany" "Red Blend" "Rocca delle Macìe"
"Italy" 88 37 "Northeastern Italy" "White Blend" "Russiz Superiore"
"Italy" 88 35 "Southern Italy" "Red Blend" "Tenuta Coppadoro"
"Italy" 88 15 "Veneto" "Red Blend" "Masi"
"Italy" 88 24 "Tuscany" "Red Blend" "Fattoria Fibbiano"
"Italy" 87 12 "Sicily & Sardinia" "Red Blend" "Duca di Salaparuta"
"France" 88 17 "Provence" "Rosé" "Hecht & Bannier"
"Italy" 88 19 "Southern Italy" "White Blend" "Cantine Olivella"
"France" 88 18 "Provence" "Rosé" "Château la Gordonne"
"Italy" 87 55 "Tuscany" "White Blend" "Fattoria Le Pupille"
"Italy" 86 24 "Tuscany" "Red Blend" "Rocca di Frassinello"
"Italy" 86 39 "Tuscany" "Red Blend" "Máté"
"Italy" 86 20 "Tuscany" "Red Blend" "Tenuta di Ghizzano"
"Italy" 86 17 "Tuscany" "Red Blend" "Collemassari"
"Italy" 86 41 "Tuscany" "Red Blend" "Podere Guado al Melo"
"Italy" 90 53 "Central Italy" "Red Blend" "Velenosi"
"Italy" 90 42 "Central Italy" "Chardonnay" "Lungarotti"
"Italy" 90 68 "Central Italy" "Red Blend" "Le Caniette"
"Italy" 90 20 "Central Italy" "Red Blend" "Perticaia"
"Italy" 88 20 "Northeastern Italy" "Chardonnay" "Elena Walch"
"Italy" 88 48 "Sicily & Sardinia" "Red Blend" "Abbazia Santa Anastasia"
"Italy" 88 16 "Sicily & Sardinia" "Syrah" "Spadina"
"Italy" 88 37 "Central Italy" "Red Blend" "Castello di Luzzano"
"Italy" 87 14 "Sicily & Sardinia" "White Blend" "Cusumano"
"Italy" 87 13 "Central Italy" "Red Blend" "Bigi"
"Italy" 87 14 "Central Italy" "Red Blend" "Tenuta di Pietra Porzia"
"Italy" 87 13 "Central Italy" "Red Blend" "Tenuta di Pietra Porzia"
"Italy" 87 16 "Sicily & Sardinia" "Syrah" "Valle dell'Acate"
"France" 88 14 "Provence" "Rosé" "Domaine de Caseneuve"
"France" 87 25 "Alsace" "Sparkling Blend" "René Muré"
"Italy" 86 50 "Tuscany" "Red Blend" "Palazzo"
"Italy" 86 18 "Tuscany" "Red Blend" "Rocca di Frassinello"
"Italy" 86 35 "Tuscany" "Red Blend" "Duemani"
"Italy" 86 60 "Tuscany" "Red Blend" "Il Palazzone"
"Italy" 86 65 "Tuscany" "Red Blend" "Villa Vignamaggio"
"Italy" 86 40 "Tuscany" "Red Blend" "Tenuta di Biserno"
"Italy" 86 40 "Tuscany" "Red Blend" "Le Grascete"
"France" 88 80 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"Italy" 88 24 "Sicily & Sardinia" "Syrah" "Principi di Spadafora"
"France" 88 48 "Burgundy" "Chardonnay" "Michel Picard"
"Italy" 87 15 "Sicily & Sardinia" "Red Blend" "Donnafugata"
"Italy" 87 15 "Central Italy" "White Blend" "Lungarotti"
"France" 88 12 "Provence" "Rosé" "Domaine Sorin"
"Italy" 86 16 "Tuscany" "Red Blend" "Tommasi"
"Italy" 86 16 "Tuscany" "Syrah" "Villa Pillo"
"Italy" 86 85 "Tuscany" "Syrah" "Terralsole"
"Italy" 85 110 "Tuscany" "Red Blend" "Grattamacco"
"France" 88 25 "Alsace" "Sparkling Blend" "Gustave Lorentz"
"Italy" 89 50 "Sicily & Sardinia" "Red Blend" "Argiolas"
"Italy" 87 28 "Tuscany" "Red Blend" "Gualdo del Re"
"Italy" 87 20 "Veneto" "Red Blend" "Aldegheri"
"France" 87 22 "Burgundy" "Chardonnay" "Simonnet-Febvre"
"Italy" 87 15 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 87 13 "Sicily & Sardinia" "White Blend" "Florio"
"Italy" 88 30 "Sicily & Sardinia" "White Blend" "Tenuta di Castellaro"
"France" 88 50 "Champagne" "Chardonnay" "Charles Ellner"
"France" 88 25 "Alsace" "Sparkling Blend" "René Muré"
"Italy" 89 40 "Sicily & Sardinia" "White Blend" "Cantina Santadi"
"Italy" 87 14 "Central Italy" "White Blend" "Tenuta di Pietra Porzia"
"France" 87 12 "Southwest France" "Red Blend" "Lionel Osmin & Cie"
"Italy" 87 18 "Sicily & Sardinia" "White Blend" "Calatrasi"
"France" 87 30 "Burgundy" "Chardonnay" "William Fèvre"
"Italy" 87 26 "Southern Italy" "Red Blend" "Fattoria Alois"
"France" 87 25 "Burgundy" "Chardonnay" "Georges Duboeuf"
"France" 87 36 "Burgundy" "Chardonnay" "Maison Champy"
"France" 88 15 "Provence" "Rosé" "Domaine de la Sanglière"
"Italy" 88 16 "Southern Italy" "White Blend" "Feudi di San Gregorio"
"Italy" 88 34 "Southern Italy" "White Blend" "Feudi di San Gregorio"
"France" 88 20 "Provence" "Rosé" "Château Henri Bonnaud"
"France" 88 35 "Provence" "Rosé" "Château Hermitage Saint-Martin"
"France" 88 20 "Provence" "Rosé" "Château Thuerry"
"Italy" 85 18 "Tuscany" "Red Blend" "Tenuta Vitanza"
"France" 91 50 "Languedoc-Roussillon" "Red Blend" "Bernard Magrez"
"Italy" 89 57 "Central Italy" "Red Blend" "Casale del Giglio"
"Italy" 89 30 "Central Italy" "Red Blend" "Umberto Cesari"
"Italy" 89 64 "Central Italy" "Red Blend" "Velenosi"
"Italy" 89 55 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 87 10 "Sicily & Sardinia" "Syrah" "Cusumano"
"Italy" 87 10 "Sicily & Sardinia" "Syrah" "Principi di Spadafora"
"Italy" 87 23 "Central Italy" "Red Blend" "Tenuta Cocci Grifoni"
"Italy" 87 45 "Southern Italy" "Red Blend" "Mocavero"
"France" 87 35 "Burgundy" "Chardonnay" "Bertrand Ambroise"
"Italy" 87 15 "Sicily & Sardinia" "Red Blend" "Botter"
"Italy" 88 17 "Southern Italy" "White Blend" "Cantine Astroni"
"France" 88 40 "Provence" "Rosé" "Château Minuty"
"France" 86 25 "Burgundy" "Red Blend" "Bailly-Lapierre"
"France" 86 20 "Alsace" "Sparkling Blend" "Pierre Sparr"
"Italy" 89 40 "Central Italy" "Red Blend" "Masciarelli"
"Italy" 88 40 "Central Italy" "Red Blend" "Antonelli"
"Italy" 86 15 "Sicily & Sardinia" "White Blend" "Di Prima"
"Italy" 86 13 "Central Italy" "White Blend" "Bigi"
"Italy" 86 14 "Central Italy" "Red Blend" "Benincasa"
"Italy" 86 15 "Southern Italy" "White Blend" "L'Astore Masseria"
"France" 87 44 "Burgundy" "Chardonnay" "Faiveley"
"France" 87 30 "Burgundy" "Chardonnay" "Faiveley"
"Italy" 87 20 "Southern Italy" "Syrah" "Feudi di Terra d'Otranto"
"France" 88 15 "Provence" "Rosé" "Château Pas du Cerf"
"France" 87 20 "Provence" "Rosé" "Domaine d'Eole"
"France" 87 17 "Provence" "Rosé" "Domaine Sainte Lucie"
"Italy" 87 27 "Southern Italy" "White Blend" "I Capitani"
"France" 87 20 "Provence" "Rosé" "Mas de Cadenet"
"France" 87 17 "Provence" "Rosé" "Château de la Galinière"
"France" 87 30 "Provence" "Red Blend" "Château Margüi"
"France" 87 46 "Champagne" "Chardonnay" "Nicolas Feuillatte"
"Italy" 88 30 "Central Italy" "Red Blend" "Il Conte"
"Italy" 88 25 "Central Italy" "Red Blend" "Talamonti"
"Italy" 86 15 "Central Italy" "White Blend" "Conti Leopardi di San Leopardo"
"France" 87 60 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"France" 87 115 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"Italy" 87 25 "Sicily & Sardinia" "Red Blend" "Abbazia Santa Anastasia"
"France" 87 25 "Burgundy" "Chardonnay" "William Fèvre"
"France" 87 20 "Provence" "Rosé" "Xavier Flouret"
"France" 87 12 "Provence" "Rosé" "Barton & Guestier"
"France" 84 23 "Alsace" "Chardonnay" "Ehrhart"
"France" 84 14 "France Other" "White Blend" "Bouvet-Ladubay"
"France" 86 13 "Languedoc-Roussillon" "Chardonnay" "Louis Changarnier"
"Italy" 86 12 "Central Italy" "White Blend" "Bigi"
"Italy" 88 32 "Central Italy" "White Blend" "Lungarotti"
"Italy" 88 16 "Central Italy" "Red Blend" "Madonna Alta"
"Italy" 88 38 "Central Italy" "Red Blend" "Le Caniette"
"France" 87 24 "Burgundy" "Chardonnay" "La Chablisienne"
"France" 87 130 "Burgundy" "Chardonnay" "Chanson Père et Fils"
"France" 87 10 "Provence" "Rosé" "Château Montaud"
"Italy" 87 24 "Southern Italy" "White Blend" "Sorrentino"
"Italy" 87 14 "Sicily & Sardinia" "White Blend" "Stemmari"
"Italy" 87 24 "Southern Italy" "White Blend" "Tenuta San Francesco"
"France" 84 22 "Alsace" "Sparkling Blend" "Lucien Albrecht"
"France" 84 17 "France Other" "Red Blend" "Caves de Marsigny"
"France" 84 25 "Alsace" "Sparkling Blend" "Jean-Baptiste Adam"
"Italy" 83 25 "Tuscany" "Red Blend" "Bindella"
"Italy" 87 19 "Piedmont" "Red Blend" "Tenuta La Marchesa"
"Italy" 86 10 "Sicily & Sardinia" "Syrah" "MandraRossa"
"Italy" 86 16 "Sicily & Sardinia" "White Blend" "Maurigi"
"France" 87 35 "Burgundy" "Chardonnay" "Olivier Leflaive"
"Italy" 87 16 "Northeastern Italy" "Chardonnay" "Plozner"
"France" 86 30 "Burgundy" "Chardonnay" "Faiveley"
"Italy" 86 18 "Tuscany" "Red Blend" "Tenuta di Ghizzano"
"France" 86 30 "Burgundy" "Chardonnay" "Xavier Monnot"
"Italy" 90 34 "Tuscany" "Red Blend" "Ciacci Piccolomini d'Aragona"
"France" 88 18 "Loire Valley" "Red Blend" "Domaine Joël Delaunay"
"Italy" 82 11 "Southern Italy" "Red Blend" "Caputo"
"France" 86 13 "Languedoc-Roussillon" "Rosé" "Prieure Saint-Hippolyte"
"France" 86 11 "Rhône Valley" "Rosé" "Red Beret"
"France" 84 12 "Rhône Valley" "Rosé" "Château de Campuget"
"France" 84 10 "Languedoc-Roussillon" "Syrah" "Los 3 Bandidos"
"France" 87 49 "Burgundy" "Chardonnay" "Domaine Vincent Bouzereau"
"France" 87 50 "Burgundy" "Chardonnay" "Antonin Rodet"
"France" 87 48 "Burgundy" "Chardonnay" "Bouchard Père & Fils"
"France" 83 17 "France Other" "Red Blend" "Bailly-Lapierre"
"France" 83 17 "France Other" "White Blend" "Bailly-Lapierre"
"Italy" 87 15 "Central Italy" "Red Blend" "Lungarotti"
"Italy" 87 13 "Central Italy" "Red Blend" "Umberto Cesari"
"Italy" 87 12 "Italy Other" "Sparkling Blend" "Bartenura"
"Italy" 93 157 "Lombardy" "Sparkling Blend" "Ca' del Bosco"
"Italy" 93 90 "Northeastern Italy" "Chardonnay" "Ferrari"
"Italy" 92 30 "Northeastern Italy" "Chardonnay" "Ferrari"
"Italy" 92 34 "Lombardy" "Sparkling Blend" "Bellavista"
"Italy" 92 28 "Northeastern Italy" "Chardonnay" "Ferrari"
"Italy" 92 53 "Lombardy" "Sparkling Blend" "Monte Rossa"
"France" 82 17 "France Other" "White Blend" "Caves de Marsigny"
"France" 81 16 "France Other" "Red Blend" "Bouvet-Ladubay"
"Italy" 87 17 "Central Italy" "Red Blend" "Lungarotti"
"France" 85 35 "Rhône Valley" "Syrah" "M. Chapoutier"
"Italy" 91 88 "Lombardy" "Sparkling Blend" "Ca' del Bosco"
"Italy" 91 68 "Lombardy" "Sparkling Blend" "Ca' del Bosco"
"Italy" 87 16 "Central Italy" "Chardonnay" "Lungarotti"
"France" 95 70 "Champagne" "Chardonnay" "Louis Roederer"
"Italy" 84 10 "Veneto" "White Blend" "Anselmi"
"Italy" 84 8 "Veneto" "White Blend" "Bolla"
"Italy" 87 126 "Sicily & Sardinia" "Red Blend" "Feudi della Medusa"
"France" 86 10 "Burgundy" "Chardonnay" "Cave des Vignerons de Prisse"
"France" 94 125 "Champagne" "Chardonnay" "Jacquesson et Fils"
"Italy" 92 75 "Tuscany" "Red Blend" "Luce della Vite"
"Italy" 87 14 "Central Italy" "Red Blend" "Velenosi"
"Italy" 87 26 "Central Italy" "Red Blend" "Trerè"
"Italy" 87 14 "Central Italy" "White Blend" "Lungarotti"
"Italy" 87 22 "Central Italy" "Red Blend" "Il Conte"
"Italy" 91 44 "Lombardy" "Sparkling Blend" "Ca' del Bosco"
"Italy" 91 26 "Lombardy" "Sparkling Blend" "Contadi Castaldi"
"Italy" 91 24 "Lombardy" "Sparkling Blend" "Contadi Castaldi"
"France" 90 19 "Burgundy" "Sparkling Blend" "Bailly-Lapierre"
"France" 85 63 "Burgundy" "Chardonnay" "Bouchard Aîné & Fils"
"France" 93 128 "Champagne" "Chardonnay" "Pol Roger"
"France" 90 19 "Burgundy" "Chardonnay" "Bailly-Lapierre"
"Italy" 90 90 "Lombardy" "Sparkling Blend" "Ca' del Bosco"
"Italy" 90 53 "Lombardy" "Sparkling Blend" "Bellavista"
"Italy" 90 58 "Lombardy" "Chardonnay" "Bellavista"
"France" 90 21 "Loire Valley" "White Blend" "Langlois-Chateau"
"France" 90 19 "Burgundy" "Sparkling Blend" "Paul Delane"
"Italy" 91 32 "Northeastern Italy" "White Blend" "Lis Neris"
"France" 85 12 "Burgundy" "Chardonnay" "Roux Père et Fils"
"France" 85 19 "Burgundy" "Chardonnay" "Roux Père et Fils"
"Italy" 90 30 "Lombardy" "Sparkling Blend" "Montenisa"
"France" 90 20 "Alsace" "Sparkling Blend" "Lucien Albrecht"
"Italy" 90 38 "Lombardy" "Chardonnay" "Monte Rossa"
"Italy" 90 44 "Lombardy" "Chardonnay" "Montenisa"
"France" 90 22 "Alsace" "Sparkling Blend" "Domaine Albert Mann"
"France" 90 20 "Alsace" "Sparkling Blend" "Pierre Sparr"
"France" 90 18 "Burgundy" "Sparkling Blend" "Paul Delane"
"France" 90 15 "Languedoc-Roussillon" "Sparkling Blend" "Sieur d'Arques"
"Italy" 90 28 "Lombardy" "Sparkling Blend" "Monte Rossa"
"Italy" 86 14 "Central Italy" "Red Blend" "Fazi Battaglia"
"Italy" 86 10 "Central Italy" "Red Blend" "Il Conte"
"France" 92 72 "Champagne" "Chardonnay" "Pehu-Simonet"
"Italy" 84 10 "Central Italy" "White Blend" "Rocca delle Macìe"
"Italy" 89 24 "Piedmont" "Sparkling Blend" "Banfi"
"Italy" 85 7 "Northeastern Italy" "Chardonnay" "Mezzacorona"
"France" 85 8 "France Other" "Sparkling Blend" "Marquis de la Tour"
"Italy" 85 12 "Italy Other" "White Blend" "Col di Luna"
"Italy" 85 18 "Italy Other" "Sparkling Blend" "Foss Marai"
"France" 92 84 "Champagne" "Chardonnay" "Pierre Gimonnet et Fils"
"France" 91 65 "Champagne" "Chardonnay" "Ayala"
"France" 82 8 "Languedoc-Roussillon" "Chardonnay" "Fortant"
"France" 89 27 "Loire Valley" "White Blend" "Gratien et Meyer"
"Italy" 89 58 "Lombardy" "Sparkling Blend" "Bellavista"
"Italy" 89 13 "Northeastern Italy" "Sparkling Blend" "Rotari"
"Italy" 89 32 "Lombardy" "Sparkling Blend" "Berlucchi"
"France" 89 24 "France Other" "Sparkling Blend" "Andre et Mireille Tissot"
"France" 89 17 "Loire Valley" "Chardonnay" "Bouvet-Ladubay"
"Italy" 85 16 "Sicily & Sardinia" "Rosé" "Argiolas"
"France" 85 10 "Loire Valley" "Chardonnay" "Domaine du Petit Clocher"
"Italy" 84 11 "Northeastern Italy" "Sparkling Blend" "Rotari"
"France" 87 18 "Loire Valley" "Sparkling Blend" "Château Moncontour"
"Italy" 88 46 "Lombardy" "Sparkling Blend" "Contadi Castaldi"
"Italy" 88 11 "Northeastern Italy" "Sparkling Blend" "Rotari"
"France" 95 146 "Rhône Valley" "Syrah" "Delas Frères"
"Italy" 84 19 "Central Italy" "Red Blend" "Bucci"
"Italy" 83 27 "Tuscany" "Chardonnay" "Marchesi de' Frescobaldi"
"Italy" 88 30 "Northeastern Italy" "Sparkling Blend" "Ferrari"
"France" 88 20 "France Other" "Sparkling Blend" "Andre et Mireille Tissot"
"Italy" 95 80 "Tuscany" "Red Blend" "Marchesi Antinori"
"France" 93 75 "Rhône Valley" "Syrah" "Domaine Courbis"
"France" 93 65 "Rhône Valley" "Syrah" "Saint Cosme"
"Italy" 93 70 "Tuscany" "Red Blend" "Marchesi Antinori"
"France" 92 64 "Rhône Valley" "Syrah" "Delas Frères"
"France" 89 29 "Burgundy" "Chardonnay" "Prosper Maufoux"
"France" 88 55 "Burgundy" "Chardonnay" "Prosper Maufoux"
"Italy" 92 60 "Tuscany" "Red Blend" "Poggio Verrano"
"France" 92 95 "Rhône Valley" "Syrah" "M. Chapoutier"
"Italy" 91 43 "Tuscany" "Red Blend" "Castello del Terriccio"
"Italy" 88 25 "Lombardy" "Sparkling Blend" "Tenuta Il Bosco"
"Italy" 84 11 "Central Italy" "White Blend" "Umberto Cesari"
"France" 88 20 "Burgundy" "Sparkling Blend" "Bailly-Lapierre"
"France" 91 42 "Rhône Valley" "Syrah" "Delas Frères"
"France" 91 38 "Rhône Valley" "Syrah" "E. Guigal"
"France" 91 23 "Rhône Valley" "Syrah" "J.L. Chave"
"France" 91 25 "Rhône Valley" "Syrah" "Domaine Courbis"
"France" 91 47 "Rhône Valley" "Syrah" "Domaine Philippe Faury"
"France" 86 14 "Burgundy" "Chardonnay" "Prosper Maufoux"
"France" 86 18 "Burgundy" "Chardonnay" "Prosper Maufoux"
"Italy" 85 9 "Southern Italy" "Red Blend" "Taurino"
"France" 87 19 "Alsace" "Sparkling Blend" "Wolfberger"
"France" 90 24 "Rhône Valley" "Syrah" "Domaines Pochon"
"France" 90 22 "Rhône Valley" "Syrah" "E. Guigal"
"France" 90 26 "Rhône Valley" "Syrah" "Domaine Philippe Faury"
"France" 90 80 "Rhône Valley" "Syrah" "Jean-Luc Colombo"
"France" 90 13 "Rhône Valley" "Rosé" "Les Vignerons de Tavel"
"France" 90 27 "Rhône Valley" "Syrah" "Domaine les Bruyeres"
"France" 93 50 "Burgundy" "Chardonnay" "Olivier Leflaive"
"France" 93 59 "Champagne" "Chardonnay" "Pol Roger"
"France" 91 54 "Burgundy" "Chardonnay" "Olivier Leflaive"
"Italy" 87 16 "Veneto" "Sparkling Blend" "Bortolotti"
"Italy" 87 11 "Northeastern Italy" "Sparkling Blend" "Rotari"
"France" 90 20 "Rhône Valley" "Syrah" "Domaine Michelas St Jemm"
